recommended_is_number,recommended_title,related_is_number,related_title,related_status,related_source_url,relationship_type,reviewed_in,relationship_direction
IS 8042:2015,White Portland Cement - Specification (Third Revision),IS 2185 (Part 1):2005,Concrete masonry units - Specification: Part 1 hollow and solid concrete blocks (Third Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IitZcmZJaytYU2I1NW5xZzFUYTJTQkE9PSIsInZhbHVlIjoiR3Y1NUhsV0Vka2pyalBQR2srL2UrQT09IiwibWFjIjoiNWYzZDQ2ZTIxYjg1NWZkMmEyZTg2MmNiNDBkOWE4MTk4YWQ2OWE5ZmUxZTU5NWZhN2EyMjc3OTA2OGRhODEwOCIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%201):2005,REFERRED_IN_STANDARD,2025.0,outgoing
IS 8042:2015,White Portland Cement - Specification (Third Revision),IS 2185 (Part 2):1983,Specification for concrete masonry units: Part 2 hollow and solid lightweight concrete blocks (First Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImlJd2cvY2VqSzZvaWlTWlU5Y0xCTXc9PSIsInZhbHVlIjoiUVVSa2JrVTJNKzRFRUcwZWhGZTg4Zz09IiwibWFjIjoiNDFlZWVkMTE4OGZkYWNjYzRkMWI0Yzc1MjMzYTEyZmFkZWJhY2Q3NDVkZDlhNjAxY2Y3NzA3YjVjNjE2Yzk2MCIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%202):1983,REFERRED_IN_STANDARD,2025.0,outgoing
IS 455:2015,Portland slag cement - Specification (fifth revision),IS 12423:1988,Method for Colorimetric analysis of Hydraulic Cement,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImtZSUxTWkJKTkxxcHhhS1NwRmVFZ1E9PSIsInZhbHVlIjoiRU4vdVc1cEliRDVxTGxFRU05bE8rUT09IiwibWFjIjoiZjRhMzE2NTAwNzg4OGVjYWI0MjQ2MWI5ZmQ5ZGM3ZDAxMjZiZTlhNTEyMzcyMDAyN2MzNDNjYTY2MGJlODY0YiIsInRhZyI6IiJ9&standardNumber=IS%2012423:1988,REFERRED_BY_STANDARD,2026.0,outgoing
IS 455:2015,Portland slag cement - Specification (fifth revision),IS 2911 (Part 3):2021,Design and construction of pile foundations - Code of practice: Part 3 Under-reamed piles (second revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlFRVDRNVnVkOVVqbXNpYTlIdktpV1E9PSIsInZhbHVlIjoidWpsSTBDbTZYVHo5UktZTS82OG5vdz09IiwibWFjIjoiMjQwZGM1MDhhY2NlNGQ4ZjQ3YjcwYTU1OGMxZTAwMGY3MWFkY2IzZGE5MTI1ZjQ3MmFiZTRiZDg1ZjFlZDg0MCIsInRhZyI6IiJ9&standardNumber=IS%202911%20(Part%203):2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 455:2015,Portland slag cement - Specification (fifth revision),IS 3370 (Part 1):2021,Concrete Structures for Retaining Aqueous Liquids - Code of Practice : Part 1 General Requirements (Second Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik9xWWpObFZZaDJXVzgxWG9GaS8xNkE9PSIsInZhbHVlIjoiVmYzU1dZcnBMOHVSU29QT1ZQR2VRUT09IiwibWFjIjoiZjY5NzQwNDA2Zjk4NTE3Y2IzY2FkNTdjMWZkOTg2YTYwNTBhYTg5YWU5OWRjZDJhMzhlYTM1YzczMTdkYmE0NiIsInRhZyI6IiJ9&standardNumber=IS%203370%20(Part%201):2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 455:2015,Portland slag cement - Specification (fifth revision),IS 457:1957,Code of practice for general construction of plain and reinforced concrete for dams and other massive structures,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Iis1TnQ3QmJMczhqdjVqOGhmU0xLL0E9PSIsInZhbHVlIjoiYWxRd3hjOEVic2hnNVl4aitMd3ZMdz09IiwibWFjIjoiNzViOTY1ZTQwZWFiNGUwODQyODNlMWU1MTcxYTM3ZWU2Y2MyMmQxYjE5OTE5MjEwMjM4NWE1Njg0M2U0ZmJhZSIsInRhZyI6IiJ9&standardNumber=IS%20457:1957,REFERRED_IN_STANDARD,2026.0,outgoing
IS 455:2015,Portland slag cement - Specification (fifth revision),IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjZnVkU3MFROWEdHbmpoN0N5M0lMbGc9PSIsInZhbHVlIjoiVS9TczNxRGRhbjVMYlByWldHTmZQZz09IiwibWFjIjoiNTIwNDQ5MWQxMWRlOTdjZDVjYTA4OWRiOTY2OGZhYjg1MTg1M2Y2YmJlYzM3OTRhYTE4OTFjZDI2ODhlODlmMyIsInRhZyI6IiJ9&standardNumber=IS%20458:2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjZnVkU3MFROWEdHbmpoN0N5M0lMbGc9PSIsInZhbHVlIjoiVS9TczNxRGRhbjVMYlByWldHTmZQZz09IiwibWFjIjoiNTIwNDQ5MWQxMWRlOTdjZDVjYTA4OWRiOTY2OGZhYjg1MTg1M2Y2YmJlYzM3OTRhYTE4OTFjZDI2ODhlODlmMyIsInRhZyI6IiJ9&standardNumber=IS%20458:2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),IS 1332:1986,precast reinforced concrete street lighting poles,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IldoRmp5N1NiYm1XNTQ5eGZuQ1pzbmc9PSIsInZhbHVlIjoiVzVTREN4WE5heTlJOFJrNTBMcURpQT09IiwibWFjIjoiMTkxN2JiYzU2NGExMTVjMjI3ODBkOGExOTQ4NWRmMWNlZjBjOWZmMmE1NDQ2MjJiOGU4N2U0ZTRmOWRlN2U4OCIsInRhZyI6IiJ9&standardNumber=IS%201332:1986,REFERRED_IN_STANDARD,2025.0,outgoing
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),IS 2185 (Part 1):2005,Concrete masonry units - Specification: Part 1 hollow and solid concrete blocks (Third Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IitZcmZJaytYU2I1NW5xZzFUYTJTQkE9PSIsInZhbHVlIjoiR3Y1NUhsV0Vka2pyalBQR2srL2UrQT09IiwibWFjIjoiNWYzZDQ2ZTIxYjg1NWZkMmEyZTg2MmNiNDBkOWE4MTk4YWQ2OWE5ZmUxZTU5NWZhN2EyMjc3OTA2OGRhODEwOCIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%201):2005,REFERRED_IN_STANDARD,2025.0,outgoing
