recommended_is_number,recommended_title,related_is_number,related_title,related_status,related_source_url,relationship_type,reviewed_in,relationship_direction
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjZnVkU3MFROWEdHbmpoN0N5M0lMbGc9PSIsInZhbHVlIjoiVS9TczNxRGRhbjVMYlByWldHTmZQZz09IiwibWFjIjoiNTIwNDQ5MWQxMWRlOTdjZDVjYTA4OWRiOTY2OGZhYjg1MTg1M2Y2YmJlYzM3OTRhYTE4OTFjZDI2ODhlODlmMyIsInRhZyI6IiJ9&standardNumber=IS%20458:2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),IS 11155:2019,Construction of spillways and similar overflow structures - Code of practice (Second Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Inh1VHBWenV6NTVPbkJPVSs1Yjh0Q2c9PSIsInZhbHVlIjoiNmE4TzdZa0d3RHgwQ0REOGJBencrUT09IiwibWFjIjoiYWEzZjBlZGU3ZDk3ZjE5NzE5NTI3ZjA0MDc2ZDkzMTQzZDY5ZWZiMDcyZmZiMjIyMjMzY2NjMDM2NDk0NTM2ZSIsInRhZyI6IiJ9&standardNumber=IS%2011155:2019,REFERRED_IN_STANDARD,2025.0,outgoing
IS 12600:1989,"Portland Cement, Low Heat - specification",IS 2911 (Part 1/Sec 3):2010,Design and Construction of Pile Foundations — Code Of Practice Part 1 Concrete Piles: Section 3 Driven Precast Concrete Piles (Second Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IklKa2JPQ1BFN3Yxdk1MZCtuNU1XNHc9PSIsInZhbHVlIjoibU54MGVZRnZVT29GYXJ2MEVVb3RMUT09IiwibWFjIjoiZTJmMGU3NDZmMGM5YzBhOGIwYWQ4MTA3NDAxYWI5NjRlNzU0ZDIxMTg3MzQ5ZDE2NGYzMmYzYmI5MTMwMzZlMSIsInRhZyI6IiJ9&standardNumber=IS%202911%20(Part%201%2FSec%203):2010,REFERRED_IN_STANDARD,2025.0,outgoing
IS 12600:1989,"Portland Cement, Low Heat - specification",IS 456:2000,Plain and reinforced concrete - Code of practice (Fourth Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjlQWUZwcS9CcTRISzdPTG9VckUzV3c9PSIsInZhbHVlIjoiNlFxcDJDVFFhWEhRajhyS3ZqcXdodz09IiwibWFjIjoiMzUzNTM5ZTQ1MDRmNWZkZjAyYjdjZmEzM2FkNTZhYTZjYzIwOWFmYTQxMGJlYmY1MjdhYTczOGRlZTc0ZWFjYSIsInRhZyI6IiJ9&standardNumber=IS%20456:2000,REFERRED_IN_STANDARD,2025.0,outgoing
IS 12600:1989,"Portland Cement, Low Heat - specification",IS 11761:2024,MULTI-WALL PAPER SACKS FOR CEMENT- SPECIFICATION ( Second Revision ),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InFSbTkwQW5naUFmcVlFTG53S0tjSHc9PSIsInZhbHVlIjoiK1dvS01yRnNuT2JwRTJucUdMSHIrZz09IiwibWFjIjoiNWZlMzU1YzJmZTdiNTliYmNiNjM0YzhhMDhmOTYzZWExZTI1YTgzMTRmNjI5N2JjZDgzYzY5ZWJiN2Y1YjczMyIsInRhZyI6IiJ9&standardNumber=IS%2011761:2024,REFERRED_BY_STANDARD,2024.0,outgoing
IS 12600:1989,"Portland Cement, Low Heat - specification",IS 1343:2012,Prestressed Concrete - Code of Practice (Second Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkhsVkZCSHJaRy9zVVc2QXhmaFVyNlE9PSIsInZhbHVlIjoiUGVXSWlwaDJlem0rYStDeDJvc1Jldz09IiwibWFjIjoiYTNkODMzZjJhNWE0N2RlNjFkYjM5ODBjOTRmYTllMjhkOTZiOTU5YTk0MWQzMzA0MzQ5ZWU2ZGJkYmNhMjhjNyIsInRhZyI6IiJ9&standardNumber=IS%201343:2012,REFERRED_BY_STANDARD,2024.0,incoming
IS 12600:1989,"Portland Cement, Low Heat - specification",IS 3535:1986,Methods of Sampling Hydraulic Cement (First revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjM3RURGQjRMUmtXTkcyQ2x2dFpiS1E9PSIsInZhbHVlIjoic1JWVnU2TnJ1bDJVS1Y4WnUyRUJzdz09IiwibWFjIjoiZjZlZDU5ZTAzOTMyYTVmNGZjMzQzNWIyNGVkNmZiYTdkODk2ODFjZGM4MGNhYmFkMWI2Mzc1ZDUxZTg0YjQxYiIsInRhZyI6IiJ9&standardNumber=IS%203535:1986,REFERRED_IN_STANDARD,2024.0,incoming
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),IS 12423:1988,Method for Colorimetric analysis of Hydraulic Cement,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImtZSUxTWkJKTkxxcHhhS1NwRmVFZ1E9PSIsInZhbHVlIjoiRU4vdVc1cEliRDVxTGxFRU05bE8rUT09IiwibWFjIjoiZjRhMzE2NTAwNzg4OGVjYWI0MjQ2MWI5ZmQ5ZGM3ZDAxMjZiZTlhNTEyMzcyMDAyN2MzNDNjYTY2MGJlODY0YiIsInRhZyI6IiJ9&standardNumber=IS%2012423:1988,REFERRED_BY_STANDARD,2026.0,outgoing
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),IS 14835:2000,Guidelines for estimating unit rate of items of works in construction of rubble masonry for river valley projects,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IndCbktoQytBYWtLRXdlUzA2bzBFUGc9PSIsInZhbHVlIjoiWUZUNmRNT0R1a2dLbTh6UlBLNC9adz09IiwibWFjIjoiZmM3YzA1NTJjNjE0OTgxNzQ2NWNjN2FmZmUzNWI1MmI1YzNhNjA5YzU1NzZlNTkzOWExOWY4YmMwNWFjYWE2OSIsInRhZyI6IiJ9&standardNumber=IS%2014835:2000,REFERRED_IN_STANDARD,2026.0,outgoing
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),IS 2911 (Part 3):2021,Design and construction of pile foundations - Code of practice: Part 3 Under-reamed piles (second revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlFRVDRNVnVkOVVqbXNpYTlIdktpV1E9PSIsInZhbHVlIjoidWpsSTBDbTZYVHo5UktZTS82OG5vdz09IiwibWFjIjoiMjQwZGM1MDhhY2NlNGQ4ZjQ3YjcwYTU1OGMxZTAwMGY3MWFkY2IzZGE5MTI1ZjQ3MmFiZTRiZDg1ZjFlZDg0MCIsInRhZyI6IiJ9&standardNumber=IS%202911%20(Part%203):2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),IS 3370 (Part 1):2021,Concrete Structures for Retaining Aqueous Liquids - Code of Practice : Part 1 General Requirements (Second Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik9xWWpObFZZaDJXVzgxWG9GaS8xNkE9PSIsInZhbHVlIjoiVmYzU1dZcnBMOHVSU29QT1ZQR2VRUT09IiwibWFjIjoiZjY5NzQwNDA2Zjk4NTE3Y2IzY2FkNTdjMWZkOTg2YTYwNTBhYTg5YWU5OWRjZDJhMzhlYTM1YzczMTdkYmE0NiIsInRhZyI6IiJ9&standardNumber=IS%203370%20(Part%201):2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjZnVkU3MFROWEdHbmpoN0N5M0lMbGc9PSIsInZhbHVlIjoiVS9TczNxRGRhbjVMYlByWldHTmZQZz09IiwibWFjIjoiNTIwNDQ5MWQxMWRlOTdjZDVjYTA4OWRiOTY2OGZhYjg1MTg1M2Y2YmJlYzM3OTRhYTE4OTFjZDI2ODhlODlmMyIsInRhZyI6IiJ9&standardNumber=IS%20458:2021,REFERRED_IN_STANDARD,2026.0,outgoing
